,Age,Gender,Location,Income(₹),Status,Qualification,Domain,Score,Preferred-job,Preferred-industry,Internship,Exp-month-salary(INR ),Job-confidence,Job-security,Skill-set-scale,Redo-subjects,Job-portals,Updated-LinkedIn,Current-skills,Certification,Certification-domain,Job-platforms-freq,Market-awareness,Automation-impact,Work-mode,Curriculum-use,Missing-subjects,Job-search-time-weekly,Motivation,Switch-domain,Relocate
0,18-22,Male,Mumbai,"₹2,50,000–₹5,00,000",Currently studying,Bachelor's degree,Computer science,8.5,Ml engineer,"IT/Software, Finance, Manufacturing",No,40000,Neutral,4,Maybe,"Healthcare, and agriculture ",Linkedin,No,"Coding, data science",Yes,Machine learning,Weekly,Somewhat,Positively,Hybrid,3,Managing people,Less than 1 hour,Work-life balance,Yes,"Yes, Within my country"
1,18-22,Male,Mumbai,"₹5,00,000–₹10,00,000",Currently studying,Bachelor's degree,Bsc CS,8.5,,"IT/Software, Education",No,60000,Confident,4,Yes,yes skilling and certification,,No,public speaking,Yes,yse,Monthly,Somewhat,Positively,Hybrid,3,"ai, promt engineering",Less than 1 hour,Work-life balance,Yes,"Yes, anywhere"
2,18-22,Male,Mumbai,"₹2,50,000–₹5,00,000",Currently studying,Bachelor's degree,Science,9.0,Student,IT/Software,No,75000,Neutral,3,Maybe,Ai,,No,Web development,Yes,Web development,Rarely,Yes,Not sure,Hybrid,3,Trending technology,Less than 1 hour,Job security,Maybe,"Yes, anywhere"
3,18-22,Male,Mumbai,"₹5,00,000–₹10,00,000",Currently studying,Bachelor's degree,Commerce,9.27,Accountant,Finance,No,80000,Confident,2,Yes,No change,Linkedin,yes,"Data analysis ,excel/tally,",No,Nil,Rarely,Yes,No impact,Hybrid,4,Ai integrated study,Less than 1 hour,Growth potential,No,No
4,28-32,Male,Mumbai,"₹5,00,000–₹10,00,000",Currently studying,Master's degree,History,7.2,School,"Education, Manufacturing",yes,45000,Neutral,5,Yes,Travel,Linkedin,No,"Adobe, canva and Google classroom ",No,History and accontany,Rarely,Yes,Positively,On-site,3,Specialization in specific field from early age,Less than 1 hour,High salary,No,"Yes, anywhere"
5,18-22,Female,Mumbai,"Less than ₹2,50,000",Currently studying,Bachelor's degree,Science,9.82,Ceo,"IT/Software, Healthcare, Marketing",No,100000,Very confident,5,No,AI,,No,,No,No,Never,No,Not sure,Hybrid,1,Practical knowledge,Less than 1 hour,High salary,Maybe,"Yes, anywhere"
6,18-22,Female,Mira road,"₹5,00,000–₹10,00,000",Currently studying,Diploma,Bsc Life Science,9.91,"Lab assistant, teachers","IT/Software, Healthcare, Education, Marketing",yes,20000,Neutral,5,Yes,"AI, Coding software",Naukri.com LinkedIn,yes,Fluent speaking,Yes,Life Science,Rarely,Somewhat,Positively,Hybrid,4,Psid internships,1–5 hours,High salary,Yes,"Yes, Within my country"
7,18-22,Male,Kalyan,"₹2,50,000–₹5,00,000",Currently studying,Bachelor's degree,Computer Science,9.31,Full Stack Developer,IT/Software,No,100000,Confident,4,Yes,Blockchain,Linkedin,yes,"programming, adaptability, leaner, communication ",No,,Weekly,Yes,Positively,Hybrid,3,"DevOps, Chip Designing",Less than 1 hour,High salary,No,No
8,18-22,Female,Mumbai,"₹2,50,000–₹5,00,000",Currently studying,Bachelor's degree,Computer science,7.25,Web developer,"IT/Software, Finance, Healthcare, Education",yes,25000,Neutral,4,Yes,Hotel management,Linkedin,No,Nothing,No,No,Rarely,Yes,Not sure,Hybrid,3,No,Less than 1 hour,Growth potential,No,"Yes, Within my country"
9,23-27,Male,Porto Alegre,"Less than ₹2,50,000",Currently studying,Bachelor's degree,B.a (English),7.0,Athlete,"Education, ",No,60000,Very confident,4,Yes,English,,No,No,No,Philosophy,Never,No,Positively,On-site,3,Research,Less than 1 hour,High salary,No,"Yes, anywhere"
